cafe_name,location_name,full_address,main_food,like,image
목화씨라운지 연남,연남동,서울특별시 마포구 연남동 252-3,"아이스아메리카노, 카페",56,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201027050403211_photo_jBGih5N8q7N5.jpg
카페 228-9,연남동,서울특별시 마포구 연남동 228-9,"비엔나커피, 카페, 카페오레",53,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20190817042747_photo1_a5c588dcba33.jpg
페이브 베이커리,연남동,서울특별시 마포구 연남동 255-12,"아메리카노, 크로와상, 카페",45,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201108045809_photo1_fd993a6fc3b2.jpg
작당모의,연남동,서울특별시 마포구 연남동 381-15,"아인슈페너, 앙버터, 카페",14,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210419124602_photo1_02d30f76e800.jpg
딩가 케이크,연남동,서울 마포구 연남동 252-18,"케이크, 아메리카노, 카페",20,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210321072856511_photo_25ca19551d0e.jpg
연남동 벚꽃집,연남동,서울특별시 마포구 연남동 256-9,"아메리카노, 카페",2,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210412124235_photo1_5145e74e968e.jpg
땡스오트,연남동,서울특별시 마포구 연남동 375-113,"그릭요거트, 카페",13,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210122100348_photo1_bb49b9b17e28.jpg
카페스콘,연남동,서울특별시 마포구 연남동 239-4,"레몬케이크, 아메리카노, 카페",4,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210408105322_photo3_bafb58e4aa35.jpg
위아소울메이트,연남동,서울특별시 마포구 연남동 227-31,"아메리카노, 케이크, 카페",3,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200907015525569_photo_5787f14c78b1.jpg
어나더룸,연남동,서울특별시 마포구 연남동 241-88 1층,"크로플, 아메리카노, 카페",3,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210205125100_photo1_0UoOZNlTenDO.jpg
데일리라운드,연남동,서울특별시 마포구 연남동 390-28,"브런치, 브런치카페, 카페",51,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200713021013510_photo_9ea905994d0e.jpg
봄희,연남동,서울특별시 마포구 연남동 244-2,"와인, 와인바, 카페",36,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210116110009637_photo_7ad8692ea75e.jpg
디에이프릴,연남동,서울특별시 마포구 연남동 241-16 1층,"브런치, 프렌치토스트, 브런치카페",19,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201128091854_menu1_96984f42deea.jpg
에노하나,연남동,서울특별시 마포구 연남동 384-7,"마카롱, 아메리카노, 카페",6,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200129060710811_photo_a2accf8dbf73.jpg
헤이미쉬,연남동,서울특별시 마포구 연남동 390-25,"감자튀김, 카페",21,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200127085054_photo1_1e6f74ab1497.jpg
어니스트팬케이크,연남동,서울특별시 마포구 연남동 390-64,"팬케이크, 아메리카노, 카페",5,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201208070736_photo1_0557f756283a.jpg
피오니,연남동,서울특별시 마포구 연남동 366-19,"아메리카노, 카페, 카페라떼",28,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201206010006905_photo_d9ba0c1a2364.jpg
라라브레드,잠실,서울특별시 송파구 송파동 58-8,"아메리카노, 그라탕, 브런치카페",99,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210322062408_photo1_3a0aa2d2846e.jpg
겟썸커피,잠실,서울특별시 송파구 신천동 29  잠실 에비뉴엘 6층 롯데뮤지엄,"카푸치노, 아메리카노, 카페",240,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201202034726_photo4_8847da7f1f72.jpg
디트로네,잠실,서울특별시 송파구 송파동 7-1,"아메리카노, 아인슈페너, 카페",118,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210107064130_photo1_3fbc29ab824e.jpg
가배도 송파점,잠실,서울특별시 송파구 송파동 49-5,"아메리카노, 티라미수, 카페",75,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210305045912_photo1_7mkcsJYiUh9d.jpg
유달리 석촌호수점,잠실,서울특별시 송파구 송파동 8-10 1층,"수박쥬스, 카페",45,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210320014416_photo1_577e7ed4211d.jpg
이성당,잠실,서울시 송파구 신천동 29 제2롯데월드 쇼핑몰 6층,"단팥빵, 앙버터, 카페",57,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200310014958485_photo_d7c390b0e9cb.jpg
Pres Coffee,잠실,서울특별시 송파구 송파동 42-6 4F,"플랫화이트, 아메리카노, 카페",13,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210409025151_photo1_9851a19bb88b.jpg
온화,잠실,서울특별시 송파구 송파동 42 2층,"수플레, 밀크티, 카페",18,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210305052924_photo1_6010310fd5ba.jpg
