restaurant_name,location_name,full_address,main_food,like,image
신사연어,가로수길,서울특별시 강남구 신사동 512-9 MG타운 2층,"연어사시미, 연어",100,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210220044815076_photo_9552d18ab8ae.jpg
킹콩 스테이크,가로수길,서울시 강남구 신사동 550-1,"스테이크, 파스타",219,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210401025730_photo1_JNKBfw5EbtCx.jpg
콴안다오,가로수길,서울특별시 강남구 신사동 516-2,"분짜, 쌀국수",48,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210331072653_photo1_bb49b9b17e28.jpg
소이연남 본점,연남동,서울특별시 마포구 연남동 229-67 1층,"소고기국수, 뽀삐아",1708,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210316080306_photo01_febb7f765559.jpg
테일러커피 연남1호점,연남동,서울특별시 마포구 연남동 224-41,"아메리카노, 플랫화이트",367,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210403213814_photo2_d91612ad5865.jpg
툭툭누들타이,연남동,서울특별시 마포구 연남동 223-15,"똠양꿍, 팟타이",1323,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210414031818_photo10_3b3a14577a9a.jpg
바다회사랑 연남본점,연남동,서울특별시 마포구 연남동 566-8,"방어회, 대방어",543,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210309123808070_photo_ef7c729d4a83.jpg
감나무집 기사식당,연남동,서울특별시 마포구 연남동 515-19,"돼지불백, 생선구이",627,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210328091855991_photo_rLWyGnzqKeAW.jpg
감칠,연남동,서울특별시 마포구 연남동 385-6,"크림파스타, 크림리조또",599,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210307033202750_photo_ef34654d852f.jpg
독립카츠,연남동,서울특별시 마포구 연남동 566-56,"돈카츠, 돈까스",223,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210403111227_photo1_311c7d2da747.jpg
킨지,연남동,서울특별시 마포구 연남동 373-10 2층,"사케동, 대창덮밥",359,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210403213941_photo1_d91612ad5865.jpg
하하,연남동,서울특별시 마포구 연남동 229-12,"가지튀김, 찐만두",902,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210216110051_photo1_3a7846ae2666.jpg
옥타,연남동,서울시 마포구 연남동 257-16,"교자, 야끼소바",271,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200414103522_photo1_6dc878d60e43.jpg
벌스,연남동,서울특별시 마포구 연남동 246-22 벌스하우스 ,아메리카노,416,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210421064033063_photo_ROIEHd5UhphT.jpg
향미,연남동,서울특별시 마포구 연남동 226-21,"멘보샤, 소룡포",242,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201228102245_photo4_y7fKBqB5VHyH.jpg
문,연남동,서울특별시 마포구 연남동 385-12,"크림파스타, 파스타",209,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210322065402441_photo_VEafuBttIPoZ.jpg
연교,연남동,서울특별시 마포구 연남동 383-95 1층,"샤오롱바오, 어향가지",99,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210415095332379_photo_ffc0ca0f88e0.jpg
빚짜,연남동,서울특별시 마포구 연남동 228-39,"페퍼로니피자, 피자",274,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200415104452_photo1_a5c588dcba33.jpg
바다파스타,연남동,서울특별시 마포구 연남동 568-20,"파스타, 로제파스타",521,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200331093129515_photo_25ca19551d0e.jpg
듀윗,연남동,서울특별시 마포구 연남동 260-14,"아메리카노, 몽블랑",163,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200830050124_photo1_7ccd534b22d5.jpg
사르르,연남동,서울특별시 마포구 연남동 260-25,"팬케이크, 아메리카노",235,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200713085052453_photo_9ea905994d0e.jpg
윤씨그릴방,연남동,서울특별시 마포구 연남동 228-8,"투움바파스타, 통삼겹바베큐",407,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200925180609_photo1_8fa4eb99a476.jpg
동차밥,연남동,서울특별시 마포구 연남동 241-52,"사케동, 연어덮밥",225,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210310063629_photo1_e55fe9c410c3.jpg
탬파,연남동,서울특별시 마포구 연남동 260-2 지하1층,"샌드위치, 쿠바샌드위치",164,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210120114847_photo1_0557f756283a.jpg
이관우파스타,연남동,서울특별시 마포구 연남동 385-1 2층,"알리오올리오, 리조또",221,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210412060643_photo1_616743bf2b15.jpg
규자카야 모토,연남동,서울특별시 마포구 연남동 224-26 2층,"감바스, 멘치까스",318,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20191119071822_photo1_XLfDdxht9OvI.jpg
포레스트,연남동,서울특별시 마포구 연남동 387-19,"파스타, 크림파스타",71,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210310025448_photo1_c73a7585800a.jpg
오복수산,연남동,서울특별시 마포구 연남동 227-15,"카이센동, 우니동",76,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210227152627_profile_photo1_a966825e5495.jpg
연남테라스,연남동,서울특별시 마포구 연남동 228-7 3층,"그린커리, 뇨끼",174,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200404033741838_photo_25ca19551d0e.jpg
연남살롱,연남동,서울시 마포구 연남동 561-59,"밀크티빙수, 커피빙수",127,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200808214812_photo1_7cadc6174a28.jpg
커피리브레,연남동,서울특별시 마포구 연남동 227-15,"아메리카노, 카페라떼",176,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210125115719_photo1_77513f8dd560.jpg
혼네,연남동,서울특별시 마포구 연남동 227-4,츠케멘,49,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210131124700_photo1_dfa7cbc43625.jpg
박용석스시,연남동,서울특별시 마포구 연남동 228-64,"초밥, 스시",163,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201223080846_photo1_09e689570282.jpg
별미곱창 2호점,잠실,서울특별시 송파구 방이동 63-14,"곱창, 대창",265,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210126061349_photo1_d941a360d943.jpg
멘야하나비 본점,잠실,서울시 송파구 송파동 57,마제소바,987,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210316032802_photo1_9851a19bb88b.jpg
파오파오,잠실,서울특별시 송파구 잠실본동 205-16,"새우만두, 김치만두",304,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201126102018_photo1_66d951a862b0.jpg
치즈룸 X 테이스팅룸 월드타워,잠실,서울특별시 송파구 신천동 29 롯데월드몰 5F,"파스타, 리조또",244,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201024103504_photo1_nfwAsCeu1MZx.jpg
남경막국수,잠실,서울특별시 송파구 잠실동 207-13,"물막국수, 비빔막국수",280,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201103104712_photo1_d0aae9ecf5e6.jpg
라라브레드,잠실,서울특별시 송파구 송파동 58-8,"아메리카노, 그라탕",99,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210322062408_photo1_3a0aa2d2846e.jpg
엘리스 리틀 이태리,잠실,서울특별시 송파구 송파동 8,"라자냐, 피자",223,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210329115740_photo1_3a0aa2d2846e.jpg
오겹살왕돌구이집 방이본점,잠실,서울시 송파구 방이동 68-3,"오겹살, 목살",317,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200430155148_photo1_po3mNtJYCD3F.jpg
뉴질랜드스토리 (휴업중),잠실,서울특별시 송파구 송파동 32-1,"샌드위치, 아메리카노",190,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200803064704_photo1_b2943ef9b91e.jpg
겟썸커피,잠실,서울특별시 송파구 신천동 29  잠실 에비뉴엘 6층 롯데뮤지엄,"카푸치노, 아메리카노",240,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201202034726_photo4_8847da7f1f72.jpg
일도씨찜닭,잠실,서울특별시 송파구 송파동 7-1,"파스타, 치즈찜닭",253,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200901023827590_photo_f769c663e6ec.jpg
토닭토닭,잠실,서울특별시 송파구 송파동 57,닭갈비,256,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201029062101_photo1_ikgUtYOtVden.jpg
도쿄등심,잠실,서울특별시 송파구 신천동 7-18 롯데캐슬프라자 2층,"한우구이, 등심",168,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201104054133577_photo_15aff1843b38.jpg
